kelime_1,kelime_2,iliski_turu
bahar nezlesi,saman nezlesi,yönlendirme
bahçıvan,bağban,anlam içi
bahir,deniz,yönlendirme
bahisçi,müşterek bahisçi,yönlendirme
bahis konusu,söz konusu,yönlendirme
bahriye birliği,deniz birliği,yönlendirme
bahşediş,bağışlayış,yönlendirme
bahşetme,bağışlama,yönlendirme
bahşetmek,bağışlamak,yönlendirme
bahşiş,kahve parası,anlam içi
baht,yazgı,yönlendirme
baht,felek,anlam içi
baht,talih,anlam içi
baht,şans,yönlendirme
bahtiyar,mutlu,yönlendirme
bahtiyarlık,mutluluk,yönlendirme
bahtlı,talihli,anlam içi
bahtsız,talihsiz,anlam içi
bahtsız,bibaht,anlam içi
bahtsızca,bahtsızcasına,anlam içi
bahtsızlık,talihsizlik,anlam içi
bahusus,özellikle,yönlendirme
bakaç,vizör,yönlendirme
bakan,vekil,anlam içi
bakan,icra vekili,anlam içi
bakan,nazır,anlam içi
bakanlar kurulu,hükûmet,anlam içi
bakanlar kurulu,kabine,anlam içi
bakanlık,vekillik,anlam içi
bakanlık,nezaret,anlam içi
bakanlık,vekâlet,anlam içi
bakanlık,nazırlık,anlam içi
bakı,denetleme,yönlendirme
bakı,fal,yönlendirme
bakıcı,falcı,yönlendirme
bakıcılık,falcılık,yönlendirme
bakımcı,falcı,yönlendirme
bakımevi,kademe,yönlendirme
bakımından,itibarıyla,anlam içi
bakımından,göre,yönlendirme
bakımlı erkek,metroseksüel,anlam içi
bakım yurdu,darülaceze,anlam içi
bakıncak,nişangâh,yönlendirme
bakırsı,bakırımsı,anlam içi
bakır çalığı,bakır yeşili,yönlendirme
bakır pası,bakır yeşili,yönlendirme
bakır sülfat,göz taşı,yönlendirme
bakır taşı,malakit,yönlendirme
bakır tuzu,göz taşı,yönlendirme
bakışım,simetri,anlam içi
bakışım,tenazur,anlam içi
bakışımlı,mütenazır,anlam içi
bakışımlı,simetrili,anlam içi
bakışımlı,simetrik,anlam içi
bakışımlılık,simetriklik,anlam içi
bakışımsız,simetrisiz,anlam içi
bakışımsız,asimetrik,anlam içi
bakışımsızlık,simetrisizlik,anlam içi
bakışımsızlık,asimetri,anlam içi
bakış açısı,görüş açısı,anlam içi
bakış açısı,soluk,anlam içi
bakış açısı,zaviye,anlam içi
bakış açısı,perspektif,anlam içi
baki,ölümsüz,yönlendirme
bakire,kızoğlan,anlam içi
bakire,kızoğlankız,anlam içi
bakire,erden,anlam içi
bakirelik,erdenlik,anlam içi
bakirlik,kızlık,yönlendirme
bakiye,kalıntı,yönlendirme
baklamsı meyve,badıç,yönlendirme
bakmak,esermek,anlam içi
bakmak,geçindirmek,yönlendirme
bakmak,ilgilenmek,anlam içi
bakterisit,bakterikıran,yönlendirme
bala,yavru,yönlendirme
bala,çocuk,yönlendirme
balans,denge,yönlendirme
balar,pedavra,yönlendirme
balast,safra,yönlendirme
balayı,cicimayı,anlam içi
balçak,kabza,yönlendirme
balçak,barçak,yönlendirme
balçık,mil,anlam içi
balçık hurması,balçık inciri,anlam içi
baldır,incik,anlam içi
baldıran,ağı otu,anlam içi
baldıran,baldırgan (Conium maculatum),anlam içi
baldıran,baldırgan,anlam içi
baldırgan,şeytantersi,yönlendirme
baldırıkara,karabaldır,anlam içi
baldır kemiği,fibula kemiği,anlam içi
balena,balen,yönlendirme
balerin,balerina,anlam içi
balgam taşı,Hacıbektaş taşı,anlam içi
balgam taşı,mühresenk,anlam içi
balgam taşı,oniks,anlam içi
Balık,Balık Burcu,yönlendirme
balıkçın,deniz kırlangıcı (Sterna hirundo),anlam içi
balıketinde,balıketi,anlam içi
balık adam,dalgıç,yönlendirme
balık kartalı,deniz tavşancılı (Pandion haliaetus),anlam içi
balık yumurtası,havyar,yönlendirme
baliğ,ergen,yönlendirme
balina,balen,yönlendirme
balkadın,malkadın,anlam içi
balkadın,ebişke,anlam içi
balkadın,kurtkulağı (Clitocybe geotrapa),anlam içi
Balkarca,Karaçay-Balkar Türkçesi,yönlendirme
Balkar Türkçesi,Karaçay-Balkar Türkçesi,yönlendirme
balkır,parıltı,yönlendirme
balkır,şimşek,yönlendirme
balkonsu,balkonumsu,anlam içi
balköpüğü,krem rengi,yönlendirme
balköpüğü,bal karıncası,yönlendirme
ballı,şanslı,yönlendirme
ballıbaba,ballık (Lamiumalbum),anlam içi
ballıdarı,incir,yönlendirme
ballık,ballıbaba,yönlendirme
balon,palavra,yönlendirme
baloncu,palavracı,yönlendirme
baloncuk,kabarcık,yönlendirme
balsam,pelesenk ağacı,yönlendirme
balsam,belsem,anlam içi
balsam,pelesenk,anlam içi
baltacı,baltalı,anlam içi
baltalama,sabotaj,anlam içi
baltalama,sabote,anlam içi
baltalamak,sabote etmek,anlam içi
baltalayıcı,sabotajcı,anlam içi
baltalayıcılık,sabotajcılık,anlam içi
balya,denk,yönlendirme
balyoz,varyos,anlam içi
balzam,balsam,yönlendirme
bal dudaklı,bal dudak,anlam içi
bal mumu,mum,anlam içi
bal mumu,şem,anlam içi
bal peteği,arı dalağı,anlam içi
bal peteği,dalak,anlam içi
bambaşka,apayrı,anlam içi
bambaşka,farklı,anlam içi
bambu,Hint kamışı,anlam içi
bambu,hezaren (II) (Bambusa vulgaris),anlam içi
bamyatarlası,mezarlık,yönlendirme
banal,sıradan,yönlendirme
bandırmak,banmak,yönlendirme
bando,mızıka,anlam içi
bando,takım,yönlendirme
bandocu,mızıkacı,anlam içi
bandrol,denetim pulu,anlam içi
bani,kurucu,yönlendirme
banka cüzdanı,banka defteri,anlam içi
banka cüzdanı,mevduat defteri,anlam içi
banka kartı,ödeme kartı,anlam içi
bankiz,buzla,yönlendirme
banknot,kâğıt para,yönlendirme
banko,bankocu,anlam içi
banko,kesinlikle,yönlendirme
banlamak,bağırmak,yönlendirme
banliyö,yörekent,anlam içi
bant,izole bant,anlam içi
banyo küveti,küvet,yönlendirme
ban ağacı,sepetçi söğüdü,yönlendirme
ban yağı,Hint yağı,yönlendirme
baobap,baobap ağacı (Adansonia digitata),anlam içi
baobap ağacı,baobap,yönlendirme
bap,kapı,yönlendirme
bap,konu,yönlendirme
bar,Amerikan bar,yönlendirme
bar,pas,anlam içi
baraj ateşi,bar ateşi,anlam içi
baraj yapmak (veya kurmak),duvar yapmak,anlam içi
barakuda,deniz turnası,yönlendirme
baran,yağmur,yönlendirme
barbarca,barbarcasına,anlam içi
barbarizm,barbarlık,yönlendirme
barbata,kale korkuluğu,yönlendirme
barbun,barbunya,yönlendirme
barbunya,barbun (Mullus barbatus),anlam içi
bardacık,bardak eriği,yönlendirme
bardacık eriği,bardak eriği,yönlendirme
barhana,barhane,yönlendirme
barı,çit,yönlendirme
barındırma,ibate,anlam içi
barış,sulh,anlam içi
barış,hazar,anlam içi
barışçı,barışsever,yönlendirme
barışçıl,barışsever,yönlendirme
barışçılık,barışseverlik,yönlendirme
barışsever,sulhçu,anlam içi
barışsever,sulhsever,anlam içi
barışsever,sulhperver,anlam içi
barışseverlik,barışçıllık,anlam içi
barışseverlik,sulhçuluk,anlam içi
barışseverlik,sulhseverlik,anlam içi
barışseverlik,sulhperverlik,anlam içi
bari,hiç değilse,anlam içi
bari,hiç olmazsa,anlam içi
bari,keşke,yönlendirme
barisfer,ağır küre,yönlendirme
barit,baritin,anlam içi
barit,baryum sülfat Ba(OH)2,anlam içi
bariyer,engel,yönlendirme
barkod,çizgi im,anlam içi
barograf,basınçyazar,yönlendirme
barometre,basınçölçer,yönlendirme
barparalel,paralel bar,yönlendirme
barudi,barut rengi,yönlendirme
barutluk,barut kabağı,yönlendirme
baryum sülfat,barit,yönlendirme
bar bar,apaçık görünmek,anlam içi
bas,basso,anlam içi
basak,merdiven,yönlendirme
basamak,ayak,anlam içi
basamak,sekmen,anlam içi
basamak,evre,yönlendirme
basamak,hane,anlam içi
basamak basamak,yavaş yavaş,yönlendirme
basamak basamak,adım adım,yönlendirme
basar,göz,yönlendirme
basarna,kaldıraç,yönlendirme
basbayağı,ciddi ciddi,yönlendirme
bası,tab,anlam içi
basıcı,tabi,anlam içi
basık,kısık,yönlendirme
basılı,matbu,anlam içi
basılma,tabedilme,anlam içi
basılma,tabolunma,anlam içi
basılmak,tabedilmek,anlam içi
basılmak,tabolunmak,anlam içi
basım,basımcılık,yönlendirme
basım,tipografi,anlam içi
basımcı,matbaacı,anlam içi
basımcılık,basmacılık,anlam içi
basımcılık,matbaacılık,anlam içi
basımcılık,tabaat,anlam içi
basımevi,basmahane,anlam içi
basımevi,matbaa,anlam içi
basın,matbuat,anlam içi
basınç,tazyik,anlam içi
basınçlı su,tazyikli su,anlam içi
basın dünyası,medya camiası,anlam içi
basıölçer,manometre,anlam içi
basiret,sağgörü,anlam içi
basiret,vizyon,anlam içi
basiretli,sağgörülü,anlam içi
basiretlilik,sağgörülülük,anlam içi
basiretsiz,sağgörüsüz,anlam içi
basiretsizlik,sağgörüsüzlük,anlam içi
basit,amiyane,anlam içi
basit,yalınç,yönlendirme
basit cümle,basit tümce,anlam içi
basit cümle,yalın cümle,anlam içi
basit cümle,yalın tümce,anlam içi
basit kelime,kök kelime,yönlendirme
basit zaman,yalın zaman: geldin,anlam içi
basit zaman,gelmişsin,anlam içi
basit zaman,geliyorsun vb,anlam içi
basket,basketbol,yönlendirme
basketbol,sepet topu,anlam içi
basketbolcu,basketçi,anlam içi
basketbolculuk,basketçilik,anlam içi
baskı,yumruk,anlam içi
baskı,kuvvet,anlam içi
baskı,zor,anlam içi
baskı,pres,anlam içi
baskın,başat,anlam içi
baskın,hâkim,anlam içi
baskınlık,dominantlık,anlam içi
baskısızca,baskısızcasına,anlam içi
baskı kalıbı,matris,anlam içi
baskı resim,kazıma resim,yönlendirme
baskül,kantar,anlam içi
basma,tabetme,anlam içi
basma,matbua,anlam içi
basmacı,bohçacı,yönlendirme
basmacılık,bohçacılık,yönlendirme
basmak,tabetmek,anlam içi
basmak,kaplamak,yönlendirme
basmakalıp,beylik,anlam içi
basmakalıp,orta malı,anlam içi
basmakalıp,sloganvari,anlam içi
bastık,pestil,yönlendirme
bastırmak,gidermek,yönlendirme
bastırtmak,yenmek,anlam içi
basur,mayasıl,anlam içi
basur,hemoroit,anlam içi
basurlu,hemoroitli,anlam içi
baş,kafa,anlam içi
baş,kelle,anlam içi
baş,ser,anlam içi
baş,sarraflık hakkı,yönlendirme
Başak,Başak Burcu,yönlendirme
başaktör,başoyuncu (erkek),yönlendirme
başaktörlük,başoyunculuk,yönlendirme
başaktris,başoyuncu (kadın),yönlendirme
başaktrislik,başoyunculuk,yönlendirme
başarı,muvaffakiyet,anlam içi
başarılı,muvaffakiyetli,anlam içi
başarım,performans,yönlendirme
başarısız,muvaffakiyetsiz,anlam içi
başarısız,rate,anlam içi
başarısızlık,muvaffakiyetsizlik,anlam içi
başarmak,muvaffak olmak,anlam içi
başatlık,baskınlık,yönlendirme
başa baş,atbaşı,anlam içi
başbakan,başvekil,anlam içi
başbakanlık,başvekillik,anlam içi
başbakanlık,başvekâlet,anlam içi
başbayan,başkadın,yönlendirme
başbayi,ana bayi,yönlendirme
başçı,işçibaşı,yönlendirme
başçık,haşefe,anlam içi
başdanışman,başmüşavir,anlam içi
başdanışmanlık,başmüşavirlik,anlam içi
başdizgici,başmürettip,anlam içi
başdizgici,sermürettip,anlam içi
başdizgicilik,başmürettiplik,anlam içi
başdizgicilik,sermürettiplik,anlam içi
başeser,şaheser,yönlendirme
başgardiyan,infaz ve koruma başmemuru,yönlendirme
başgardiyanlık,infaz ve koruma başmemurluğu,yönlendirme
başgarson,şef garson,yönlendirme
başgarsonluk,şef garsonluk,yönlendirme
başhakem,başyargıcı,anlam içi
başhekim,başdoktor,anlam içi
başhekim,baştabip,anlam içi
başhekim,sertabip,anlam içi
başhekimlik,başdoktorluk,anlam içi
başhekimlik,baştabiplik,anlam içi
başhekimlik,sertabiplik,anlam içi
başı bağlı,başı kapalı,yönlendirme
başı bağlılık,başı kapalılık,yönlendirme
başı dimdik,başı dik,yönlendirme
başı dumanlı,sarhoş,yönlendirme
başı örtük,başı kapalı,yönlendirme
başı örtüklük,başı kapalılık,yönlendirme
başı örtülü,başı kapalı,yönlendirme
başı örtülülük,başı kapalılık,yönlendirme
başı yukarıda,burnu havada,yönlendirme
başka,özge,anlam içi
başka,diğer,anlam içi
başka,vesair,anlam içi
başka,gayrı,anlam içi
başka,gayri,anlam içi
başka,maada,anlam içi
başkaca,ayrıca,yönlendirme
başkafiye,başuyak,anlam içi
başkahraman,başkişi,anlam içi
başkalaşım,istihale,anlam içi
başkalaşım,metamorfizm,anlam içi
başkalaşma,istihale,anlam içi
başkalaşma,metamorfoz,anlam içi
başkalaşmak,istihale etmek,anlam içi
başkaldırma,başkaldırı,yönlendirme
başkaldırmak,isyan etmek,anlam içi
başkan,reis,anlam içi
başkan,reis bey,anlam içi
başkanlık,reislik,anlam içi
başkanlık,riyaset,anlam içi
başkası,bir başkası,anlam içi
başkası,bir diğeri,anlam içi
başkası,ötekisi,anlam içi
başkent,hükûmet merkezi,anlam içi
başkent,başşehir,anlam içi
başkent,payitaht,anlam içi
başkentli,başşehirli,anlam içi
başkentlik,başşehirlik,anlam içi
başkentlilik,başşehirlilik,anlam içi
başkilise,katedral,anlam içi
başkomutan,başkumandan,anlam içi
başkomutan,serdar,anlam içi
başkomutanlık,başkumandanlık,anlam içi
başkomutanlık,serdarlık,anlam içi
başköşe,tör,anlam içi
Başkurtça,Başkurt Türkçesi,yönlendirme
başkâtip,başyazman,anlam içi
başkâtiplik,başyazmanlık,anlam içi
başlama,iftitah,anlam içi
başlama meridyeni,başlangıç meridyeni,yönlendirme
başlama vuruşu,santra,anlam içi
başlangıç,ilk adım,anlam içi
başlangıç,bidayet,anlam içi
başlangıç,iptida,anlam içi
başlangıç,mebde,anlam içi
başlangıç meridyeni,başmeridyen,anlam içi
başlangıç noktası,başlama noktası,anlam içi
başlangıç noktası,çıkış noktası,anlam içi
başlangıç noktası,başnokta,anlam içi
başlayıcı,müptedi,anlam içi
başlı,yaralı,yönlendirme
başlık,serpuş,anlam içi
başlık,kapüşon,anlam içi
başlık,serlevha,anlam içi
başlık,başlık parası,yönlendirme
başlıklı,serlevhalı,anlam içi
başlıksız,serlevhasız,anlam içi
başmak,ayakkabı,yönlendirme
başmakale,başyazı,yönlendirme
başmakçı,ayakkabıcı,yönlendirme
başmakçılık,ayakkabıcılık,yönlendirme
başmaklık,has,anlam içi
başmal,sermaye,yönlendirme
başmuallim,başöğretmen,yönlendirme
başmuallimlik,başöğretmenlik,yönlendirme
başmuharrir,başyazar,yönlendirme
başmuharrirlik,başyazarlık,yönlendirme
başmurakıp,başdenetçi,yönlendirme
başmurakıplık,başdenetçilik,yönlendirme
başmüfettiş,başdenetmen,yönlendirme
başmüfettişlik,başdenetmenlik,yönlendirme
başoyuncu,başaktör,anlam içi
başoyuncu,başaktris,anlam içi
başoyuncu,primadonna,anlam içi
başöğretmen,müdür,anlam içi
başörtü,başörtüsü,yönlendirme
başörtüsü,bürgü,anlam içi
başörtüsü,örtme,anlam içi
başörtüsü,leçek,anlam içi
başparmak,badem parmak,anlam içi
başpiskopos,arşevek,anlam içi
başrahip,başkeşiş,anlam içi
başrahiplik,başkeşişlik,anlam içi
başrejisör,başyönetmen,yönlendirme
başrejisörlük,başyönetmenlik,yönlendirme
başsağlığı,taziye,anlam içi
başsağlığı,taziyet,anlam içi
başsızlık,erksizlik,anlam içi
baştanımaz,başkaldırıcı,yönlendirme
baştanımazlık,başkaldırıcılık,yönlendirme
baştan aşağı,tamamen,yönlendirme
baştan aşağı,baştan başa,yönlendirme
baştan başa,tamamen,yönlendirme
baştan başa,baştan sona,anlam içi
baştan başa,serapa,anlam içi
baştan sona,her zaman,yönlendirme
baştan sona,tamamen,yönlendirme
başucu noktası,semtürreis,anlam içi
başvurmak,müracaat etmek,anlam içi
başvurmak,gitmek,anlam içi
başvuru,müracaat,anlam içi
başvurucu,müracaatçı,anlam içi
başvurulmak,müracaat edilmek,anlam içi
başyapıt,şaheser,yönlendirme
başyargıcılık,başhakemlik,yönlendirme
başyaver,seryaver,anlam içi
başyazar,sermuharrir,anlam içi
başyazarlık,sermuharrirlik,anlam içi
başyemek,ana yemek,yönlendirme
baş aşağı,tepe aşağı,anlam içi
baş aşağı,tepeüstü,anlam içi
baş bıçağı,ustura,yönlendirme
baş dönmesi,vertigo,anlam içi
bataklık,aynaz,anlam içi
bataklık,azmak,anlam içi
bataklık,batağan,anlam içi
bataklık baykuşu,İshak kuşu,anlam içi
bataklık baykuşu,hak kuşu (Asio flammeus),anlam içi
bataklık çulluğu,su çulluğu (Gallinago gallinago),anlam içi
bataklık gazı,metan,yönlendirme
bataklık keteni,pamuk otu,yönlendirme
batar,zatürre,yönlendirme
batarya,pil,yönlendirme
bateri,davul,anlam içi
baterist,baterici,yönlendirme
bateristlik,batericilik,yönlendirme
batı,gün batısı,anlam içi
batı,günindi,anlam içi
batı,garp,anlam içi
batı,mağrip,anlam içi
batı,doğu karşıtı,anlam içi
batı,garbi,anlam içi
Batı,Garp,anlam içi
Batı,Doğu karşıtı,anlam içi
Batıcı,Garpçı,anlam içi
Batıcılık,Garpçılık,anlam içi
batıl,geçersiz,yönlendirme
Batılı,Garplı,anlam içi
Batılı,Mağribî,anlam içi
Batılılaşma,Garplılaşma,anlam içi
Batılılaşmak,Garplılaşmak,anlam içi
Batılılaştırılma,Garplılaştırılma,anlam içi
Batılılaştırılmak,Garplılaştırılmak,anlam içi
Batılılaştırma,Garplılaştırma,anlam içi
Batılılaştırmak,Garplılaştırmak,anlam içi
Batılılık,Garplılık,anlam içi
batıl inanç,batıl itikat,anlam içi
batın,karın,yönlendirme
batın,kuşak,yönlendirme
batırmak,bulamak,yönlendirme
batırmak,mahvetmek,yönlendirme
batı mazısı,aksedir,yönlendirme
Batı Türkçesi,Oğuz Türkçesi,yönlendirme
batkın,müflis,yönlendirme
batkınlık,müflislik,yönlendirme
batmak,kirlenmek,yönlendirme
batmak,çökmek,yönlendirme
batmak,dalamak,yönlendirme
batur,bahadır,yönlendirme
batyal,batiyal,anlam içi
bay,mösyö,anlam içi
bay,erkek,yönlendirme
bayağı,sıradan,yönlendirme
bayağı,gerçekten,yönlendirme
bayağılaşma,sıradanlaşma,anlam içi
bayağılaşmak,sıradanlaşmak,anlam içi
bayağılaştırma,sıradanlaştırma,anlam içi
bayağılaştırmak,sıradanlaştırmak,anlam içi
bayağılık,sıradanlık,anlam içi
bayağı kesir,adi kesir,anlam içi
bayan,kadın,yönlendirme
baygın,mahmur,yönlendirme
baygınlık,baygıntı,anlam içi
bayındır,ongun,anlam içi
bayındır,abat,anlam içi
bayındır,mamur,anlam içi
bayındırlaştırmak,imar etmek,anlam içi
bayındırlık,ümran,anlam içi
bayındırlık,mamurluk,anlam içi
bayındırlık,imar,anlam içi
bayır,belen,anlam içi
bayır,kıran,anlam içi
bayır,şev,anlam içi
bayır kuşu,çalı bülbülü,yönlendirme
baylanma,baylanlanma,anlam içi
baylanmak,baylanlanmak,anlam içi
baypas,köprüleme,yönlendirme
baypas,devre dışı,yönlendirme
baypas ameliyatı,köprüleme ameliyatı,yönlendirme
bayrak,öncü,yönlendirme
bayrakaltı,askerlik,yönlendirme
bayrak bilimi,veksilloloji,anlam içi
bayrak direği,gönder,anlam içi
bayrak merasimi,bayrak töreni,yönlendirme
bayram,şenlik,yönlendirme
bayramlaşma,muayede,anlam içi
bayramüstü,bayramüzeri,anlam içi
bayram ayı,şevval,yönlendirme
bayram tebriği,bayram ziyareti,yönlendirme
bayrı,kadim,yönlendirme
bayrılık,kadimlik,yönlendirme
baytar,veteriner,yönlendirme
baytarlık,veterinerlik,yönlendirme
baz,temel,yönlendirme
bazen,ara sıra,yönlendirme
bazı,ara sıra,yönlendirme
bazı bazı,ara sıra,yönlendirme
baziçe,oyun,yönlendirme
bazlama,bazlamaç,anlam içi
bazuka,roketatar,anlam içi
bebe,bebek,yönlendirme
bebek,göz bebeği,yönlendirme
becelleşme,cedelleşme,yönlendirme
becelleşmek,cedelleşmek,yönlendirme
beceri,maharet,anlam içi
becerikli,becerili,anlam içi
becerikli,maharetli,anlam içi
becerikli,mahir,anlam içi
becerikli,mahirane,anlam içi
beceriklilik,becerililik,anlam içi
beceriklilik,maharetlilik,anlam içi
beceriksiz,becerisiz,anlam içi
beceriksiz,maharetsiz,anlam içi
beceriksiz,gıygıycı,anlam içi
beceriksizce,maharetsizce,anlam içi
beceriksizlik,becerisizlik,anlam içi
beceriksizlik,aciz,anlam içi
beceriksizlik,âcizlik,anlam içi
beceriksizlik,maharetsizlik,anlam içi
bed,kötü,yönlendirme
bed,çirkin (ses),yönlendirme
bedahet,muayyenlik,yönlendirme
bedaheten,ansızın,yönlendirme
bedava,parasız,yönlendirme
bedava,bilabedel,anlam içi
bedava,bedavadan,anlam içi
bedava,bedavasına,anlam içi
bedava,bedavaya,anlam içi
bedava,beleş,anlam içi
bedava,beleşe,anlam içi
bedava,beleşten,anlam içi
bedava,cabadan,anlam içi
bedava,meccanen,anlam içi
bedavacı,beleşçi,anlam içi
bedavacı,abacı,anlam içi
bedavacı,lüpçü,anlam içi
bedavacılık,beleşçilik,anlam içi
bedavacılık,lüpçülük,anlam içi
bedbaht,bahtsız,yönlendirme
bedbaht,mutsuz,yönlendirme
bedbahtlık,mutsuzluk,yönlendirme
bedbin,kötümser,yönlendirme
bedbinleşme,kötümserleşme,yönlendirme
bedbinleşmek,kötümserleşmek,yönlendirme
bedbinleştirme,kötümserleştirme,yönlendirme
bedbinleştirmek,kötümserleştirmek,yönlendirme
bedbinlik,kötümserlik,yönlendirme
beddua,ilenç,anlam içi
beddua,kargış,anlam içi
bedel,fiyat,yönlendirme
bedel,denk,yönlendirme
bedelci,bedelli,yönlendirme
beden,gövde,anlam içi
bedence,fiziken,anlam içi
bedensel,beşerî,anlam içi
bedensel zekâ,kinestetik zekâ,anlam içi
bedenî,bedensel,yönlendirme
beden eğitimi,beden terbiyesi,anlam içi
bedii,estetik,yönlendirme
bediiyat,estetik,yönlendirme
begayet,son derece,yönlendirme
beğence,takriz,yönlendirme
beğeni,zevk,anlam içi
beğeni,gusto,anlam içi
beğeni,takdir,yönlendirme
beğenilme,popülarite,anlam içi
beğenilmek,sevilmek,anlam içi
beğenirlik,beğenirlilik,yönlendirme
beğenmek,açmak,anlam içi
behemehâl,kesinlikle,yönlendirme
beher,her bir,yönlendirme
beherglas,beher,anlam içi
behre,kısmet,yönlendirme
behresiz,kısmetsiz,yönlendirme
beis,sakınca,yönlendirme
bek,sert,yönlendirme
bek,sağlam,yönlendirme
bek,savunma oyuncusu,yönlendirme
beka,kalıcılık,yönlendirme
beka,ölümsüzlük,yönlendirme
bekas,çulluk,yönlendirme
bekinme,tıkanma,yönlendirme
bekinmek,tıkanmak,yönlendirme
bekitme,tıkama,yönlendirme
bekitme,sağlamlaştırma,yönlendirme
bekitmek,tıkamak,yönlendirme
bekitmek,sağlamlaştırmak,yönlendirme
bekleme,bekleyiverme,anlam içi
beklemek,oyalanmak,yönlendirme
bekleme odası,bekleme salonu,yönlendirme
bekleme salonu,intizar odası,anlam içi
beklenilme,beklenme,yönlendirme
beklenilmek,beklenmek,yönlendirme
beklenmedik,sıra dışı,anlam içi
beklenmemezlik,beklenmezlik,yönlendirme
bekletmek,oyalamak,yönlendirme
bekri,ayyaş,yönlendirme
bekrilik,ayyaşlık,yönlendirme
bekâr,ergen,anlam içi
bekâr,mücerret,anlam içi
bekâret,kızlık,yönlendirme
bekârhane,bekâr odası,yönlendirme
bel,işaret,yönlendirme
bel,meni,yönlendirme
bel,dürü,anlam içi
bela,beliye,anlam içi
belagat,retorik,anlam içi
belagatli,beliğ,anlam içi
belahet,alıklık,yönlendirme
belde,kasaba,yönlendirme
beledi,yerleşik,yönlendirme
belediye,uray,anlam içi
belediye,şehremaneti,anlam içi
belediye başkanı,belediye reisi,anlam içi
belediye başkanı,şehremini,anlam içi
belediye polisi,belediye zabıtası,yönlendirme
belek,kundak,yönlendirme
belemek,bulamak,yönlendirme
belemir,mavikantaron,yönlendirme
belenme,kundaklanma,yönlendirme
belenmek,kundaklanmak,yönlendirme
belenmek,bulanmak,yönlendirme
beletme,kundaklatma,yönlendirme
beletmek,kundaklatmak,yönlendirme
belge,vesika,anlam içi
belgeçleme,belgegeçerleme,yönlendirme
belgeçlemek,belgegeçerlemek,yönlendirme
belgeçletmek,belgegeçerletmek,yönlendirme
belgegeçer,belgeç,anlam içi
belgegeçer,faks,anlam içi
belgegeçerletme,belgeçletme,anlam içi
belgegeçerletme,fakslatma,anlam içi
belgegeçerletmek,fakslatmak,anlam içi
belgeleme,tevsik,anlam içi
belgelemek,tevsik etmek,anlam içi
belgelik,arşiv,yönlendirme
belgi,şiar,yönlendirme
belgin,sarih,anlam içi
belginlik,sarihlik,anlam içi
belginlik,sarahat,anlam içi
belgisiz,belirsiz,yönlendirme
belgisizlik,belirsizlik,yönlendirme
belgisiz sıfat,belirsizlik sıfatı,yönlendirme
belgisiz zamir,belirsizlik zamiri,yönlendirme
belgit,senet,yönlendirme
belgit,hüccet,anlam içi
belgit,burhan,anlam içi
beli,evet,yönlendirme
belik,bölük,anlam içi
belik,örgü,anlam içi
belinleme,benildeme,anlam içi
belinlemek,benildemek,anlam içi
belirgin,bariz,anlam içi
belirgin,sarih,anlam içi
belirginlik,sarihlik,anlam içi
belirleme,tayin,anlam içi
belirleme,tespit,anlam içi
belirleme,teşhis,anlam içi
belirlemek,tayin etmek,anlam içi
belirlemek,tespit etmek,anlam içi
belirlemek,vermek,anlam içi
belirlenim,gerektirim,anlam içi
belirlenim,determinasyon,anlam içi
belirlenimci,gerekirci,anlam içi
belirlenimci,determinist,anlam içi
belirlenimcilik,gerekircilik,anlam içi
belirlenimcilik,determinizm,anlam içi
belirlenmezci,yad gerekirci,anlam içi
belirlenmezci,indeterminist,anlam içi
belirlenmezcilik,yad gerekircilik,anlam içi
belirlenmezcilik,indeterminizm,anlam içi
belirli,belli,anlam içi
belirli,muayyen,anlam içi
belirlilik,muayyenlik,anlam içi
belirlilik,muayyeniyet,anlam içi
belirli geçmiş zaman,görülen geçmiş zaman,yönlendirme
belirli nesne,belirtili nesne,yönlendirme
belirme,tebarüz,anlam içi
belirme,tebellür,anlam içi
belirme,tecessüm,anlam içi
belirmek,tezahür etmek,anlam içi
belirmek,tebellür etmek,anlam içi
belirmek,tebarüz etmek,anlam içi
belirsiz,gayrimuayyen,anlam içi
belirsiz,vuzuhsuz,anlam içi
belirsiz,müphem,anlam içi
belirsizlik,varagele,anlam içi
belirsizlik,gayrimuayyenlik,anlam içi
belirsizlik,müphemlik,anlam içi
belirsizlik,müphemiyet,anlam içi
belirsizlik,vuzuhsuzluk,anlam içi
belirsizlik sıfatı,belgisiz sıfat: bazı,anlam içi
belirsizlik sıfatı,birkaç,anlam içi
belirsizlik sıfatı,her,anlam içi
belirsizlik sıfatı,birtakım,anlam içi
belirsizlik sıfatı,filan vb,anlam içi
belirsizlik zamiri,belgisiz zamir: bazısı,anlam içi
belirsizlik zamiri,birkaçı,anlam içi
belirsizlik zamiri,birçoğu,anlam içi
belirsizlik zamiri,azı,anlam içi
belirsizlik zamiri,herkes,anlam içi
belirsizlik zamiri,biri vb,anlam içi
belirteç,zarf,yönlendirme
belirteç,ayıraç,yönlendirme
belirten,tamlayan,yönlendirme
belirti,emare,anlam içi
belirti,nişan,anlam içi
belirti,tezahür,anlam içi
belirti,araz,anlam içi
belirti,semptom,anlam içi
belirtilen,tamlanan,yönlendirme
belirtili ad tamlaması,belirtili tamlama: Ayşe’nin kalemi,anlam içi
belirtili ad tamlaması,çiçeğin kokusu,anlam içi
belirtili ad tamlaması,bizim evimiz vb,anlam içi
