madde,anlam,lisan,telaffuz
attırabilmek,Attırma ihtimali veya imkânı bulunmak | Attırmaya gücü yetmek,,
attırılmak,Attırma işine konu olmak,,
attırmak,Atma işini yaptırmak,,
attırtmak,Attırma işini yaptırmak,,
avallaşmak,Aval duruma gelmek,,
avareleşmek,Aylaklık etmek,,
avareleştirmek,Avare duruma getirmek,,
avlamak,"Bir avı diri veya ölü olarak ele geçirmek; tutmak | Tuzağa düşürmek, kurnazlıkla kandırmak",,
avlanabilmek,Avlanma ihtimali veya imkânı bulunmak | Avlanma becerisi bulunmak,,
avlanmak,"Avlama işine konu olmak | Ava gitmek, ava çıkmak, av için dolaşmak",,
avlatmak,Avlanma işini yaptırmak,,
avlayabilmek,Avlama ihtimali veya imkânı bulunmak | Avlama becerisi bulunmak,,
avlayıvermek,Çabucak avlamak,,avlayı'vermek
Avrupalılaşmak,"Avrupalıların düşünce, davranış ve yaşantılarını benimsemek",,
Avrupalılaştırmak,Avrupalılaşmasını sağlamak,,
avuçlamak,"Avuçla kavramak, avuçla almak; apazlamak, hapazlamak",,
avuçlanmak,Avuçlama işine konu olmak,,
avuçlatmak,Avuçlama işini yaptırmak,,
avuçlayabilmek,Avuçlama ihtimali veya imkânı bulunmak | Avuçlamaya gücü yetmek,,
avuçlayıvermek,Çabucak avuçlamak,,avuçlayı'vermek
avunabilmek,Avunma ihtimali veya imkânı bulunmak,,
avundurmak,"Acısını hafifletmek, acısını unutturmak, teselli etmek",,
avunmak,"Bir şeyle uğraşarak acısını unutmak, sıkıntılardan uzaklaşmak; aldanmak, teselli bulmak, müteselli olmak | Bir şeyler yaparak oyalanmak | Hayvan gebe kalmak",,
avunulmak,Avunma işi yapılmak,,
avunuvermek,Çabucak avunmak,,avunu'vermek
avurtlamak,"Büyüklenmek, çalım satmak | Yüksekten atmak",,
avutabilmek,Avutma ihtimali veya imkânı bulunmak | Avutma becerisi bulunmak,,
avutmak,"Bir kimsenin acısını veya sıkıntısını yatıştırmak; avundurmak, teselli etmek | Bir şeyler yaparak oyalamak; eğlemek",,
avutulmak,Avutma işine konu olmak,,
avutuvermek,Çabucak avutmak,,avutu'vermek
ayaklamak,Ayakla ölçmek,,
ayaklanabilmek,Ayaklanma ihtimali veya imkânı bulunmak | Ayaklanmaya gücü yetmek,,
ayaklandırabilmek,Ayaklandırma ihtimali veya imkânı bulunmak | Ayaklandırmaya gücü yetmek,,
ayaklandırılabilmek,Ayaklandırılma ihtimali veya imkânı bulunmak,,
ayaklandırılmak,Ayaklanması sağlanmak,,
ayaklandırmak,Ayaklanmasına yol açmak,,
ayaklanıvermek,Çabucak ayaklanmak,,ayaklanı'vermek
ayaklanmak,"Çocuk yürümeye başlamak | Hasta iyileşip yürüyebilir duruma gelmek | Ayağa kalkıp gitmeye davranmak | Toplu bir biçimde zor ve şiddet kullanarak devlet güçlerine karşı gelmek | Uyanmak, uyanıp kalkmak",,
ayarlamak,"Bir ölçünün doğruluğunu belli bir örneğe göre düzeltmek, doğrulamak | Bir aygıtı belli bir iş yapabilecek duruma getirmek | İşleri birbiriyle çatışmayacak veya zamanında bitirecek bir biçimde düzenlemek | Bir şeyi, bir işi amaca uygun şekilde düzenlemek | Birisini isteklerini kabule razı etmek | Bir şeyi temin etmek",,
ayarlanabilmek,Ayarlanma ihtimali veya imkânı bulunmak,,
ayarlanmak,"Ayar edilmek, birbirine uygun duruma getirilmek",,
ayarlatabilmek,Ayarlatma ihtimali veya imkânı bulunmak,,
ayarlatmak,Ayar yaptırmak,,
ayarlayabilmek,Ayarlama ihtimali veya imkânı bulunmak | Ayarlamaya gücü yetmek | Ayarlama becerisi bulunmak,,
ayarlayıvermek,Çabucak ayarlamak,,ayarlayı'vermek
ayartabilmek,Ayartma ihtimali veya imkânı bulunmak,,
ayartılabilmek,Ayartılma ihtimali veya imkânı bulunmak,,
ayartılmak,Ayartma işine konu olmak,,
ayartmak,"Baştan çıkarmak, doğru yoldan saptırmak | Kötü yola sürüklemek, baştan çıkarmak; aldatmak, iğfal etmek | Birini, çalıştığı yerden ayırıp başkasının yanında çalışmaya kandırmak",,
ayazlamak,"Hava ayaza çevirmek | Ayazda kalıp üşümek | Boş yere beklemek, eline bir şey geçmemek",,
ayazlandırılmak,Ayazlanması sağlanmak,,
ayazlandırmak,Ayazlanmasını sağlamak,,
ayazlanmak,Ayazda bırakılıp soğumak,,
ayazlatmak,Soğukta bekletmek | Ayazda soğutmak,,
aydınlanabilmek,Aydınlanma ihtimali veya imkânı bulunmak,,
aydınlanıvermek,Çabucak aydınlanmak,,aydınlanı'vermek
aydınlanmak,"Aydınlık olmak; ağarmak, ışımak | Açıklığa kavuşmak | Bir sorun üzerine gereği kadar bilgi edinmek; tenevvür etmek",,
aydınlaşmak,Aydın niteliği kazanmak,,
aydınlatabilmek,Aydınlatma ihtimali veya imkânı bulunmak | Aydınlatmaya gücü yetmek,,
aydınlatılabilmek,Aydınlatılma ihtimali veya imkânı bulunmak,,
aydınlatılmak,Aydınlatma işine konu olmak,,
aydınlatıvermek,Çabucak aydınlatmak,,aydınlatı'vermek
aydınlatmak,"Karanlığı giderip görünür duruma getirmek; ışıklandırmak, ışıtmak, nurlandırmak | Bir sorun üzerine bilgi vermek",,
ayıklamak,"Bir şeyin içinden, işe yaramayan, gereksiz veya istenmeyen taneleri ayırıp çıkarmak, temizlemek | Bir görevde gereksiz görülenleri işinden ayırmak",,
ayıklanabilmek,Ayıklanma ihtimali veya imkânı bulunmak,,
ayıklanıvermek,Çabucak ayıklanmak,,ayıklanı'vermek
ayıklanmak,Ayıklama işine konu olmak,,
ayıklatabilmek,Ayıklatma ihtimali veya imkânı bulunmak | Ayıklatma becerisi bulunmak,,
ayıklatmak,Ayıklama işini yaptırmak,,
ayıklayabilmek,Ayıklama ihtimali veya imkânı bulunmak | Ayıklama becerisi bulunmak,,
ayıklayıvermek,Çabucak ayıklamak,,ayıklayı'vermek
ayılabilmek,Ayılma ihtimali veya imkânı bulunmak,,
ayılaşmak,"Kaba saba, görgüsüz biri durumuna gelmek",,
ayılmak,"Sarhoşluk, baygınlık vb. bir durumdan kurtulmak, kendine gelmek; ayıkmak, aymak | Aklı başına gelip gerçeği görmek; ayıkmak, aymak",,
ayıltabilmek,Ayıltma ihtimali veya imkânı bulunmak | Ayıltma becerisi bulunmak,,
ayıltılmak,Ayıltma işine konu olmak,,
ayıltmak,Ayılmasını sağlamak,,
ayıplamak,"Bir durumun, bir davranışın veya sözün toplumun ahlak kurallarına aykırı, utanılacak bir davranış veya söz olduğunu belirtir biçimde muhatabına söylemek",,
ayıplanmak,Ayıplama işine konu olmak,,
ayıplayabilmek,Ayıplama ihtimali veya imkânı bulunmak,,
ayırabilmek,Ayırma ihtimali veya imkânı bulunmak | Ayırma becerisi bulunmak,,
ayırıvermek,Çabucak ayırmak,,ayırı'vermek
ayırmak,"Bir bütünü kendi içinde parçalara bölmek | Bir bütünden bir parçayı herhangi bir amaçla bir tarafa koymak | Bir yeri bir engelle bölmek | Birbirinden uzaklaştırmak; fasletmek | Nitelik değişikliğini anlamak, fark etmek | İki veya daha çok kimse arasındaki anlaşmayı, uzlaşmayı bozmak | Farklı davranmak, ayrı tutmak | Bir şey veya yeri bir kimsenin hizmetine hazır tutmak; tahsis etmek",,
ayırtabilmek,Ayırtma ihtimali veya imkânı bulunmak | Ayırtma becerisi bulunmak,,
ayırtılmak,Ayırtma işine konu olmak,,
ayırtmak,Ayırma işini yaptırmak,,
ayırttırmak,Ayırtma işini yaptırmak,,
aykırılamak,Kestirmeden gitmek | Düz yoldan ayrılmak | Dikey olarak gelmek,,
aykırılaşmak,Aykırı duruma gelmek; marjinalleşmek,,
aylamak,"Bir aylık süreyi geçirmek | Bir yerde aylarca kalmak | Ayı dolduran bir süre geçirmek, aylarca kalmak",,
aylanmak,Bir yerin çevresinde dolanmak,,
aymazlaşabilmek,Aymazlaşma ihtimali veya imkânı bulunmak,,
aymazlaşmak,Aymaz duruma gelmek,,
aynalaşmak,Bir şeyi ayna gibi yansıtmak,,
aynılaşmak,Aynı duruma gelmek,,
aynılaştırmak,"Aynı duruma getirmek | Aynı görmek, aynı varsaymak",,
ayranlaşmak,Ayran durumuna gelmek,,
ayrılabilmek,Ayrılma ihtimali veya imkânı bulunmak | Ayrılma becerisi bulunmak,,
ayrılanmak,Ayrı duruma gelmek,,
ayrılaşmak,Benzerleri arasında ayrı bir yeri ve önemi olmak,,
ayrılışmak,Birbirinden ayrılmak,,
ayrılıvermek,Çabucak ayrılmak,,ayrılı'vermek
ayrılmak,"Ayırma işine konu olmak | Bir yerden, bir kimseden, bir şeyden uzaklaşmak",,
ayrımlamak,Ayrım yapmak; tefrik etmek,,
ayrımsamak,"Bir şeyi anlamak, bir şeyi görmek",,
ayrımsanmak,Ayrımsama işine konu olmak,,
ayrıntılandırabilmek,Ayrıntılandırma ihtimali veya imkânı bulunmak | Ayrıntılandırma becerisi bulunmak,,
ayrıntılandırılmak,Ayrıntılandırma işine konu olmak; detaylandırılmak,,
ayrıntılandırmak,Ayrıntılı bir duruma getirmek; detaylandırmak,,
ayrışabilmek,Ayrışma ihtimali veya imkânı bulunmak,,
ayrışmak,"Birbirinden ayrılmak, birliği bozulmak | Moleküller, türlü etkenler sebebiyle geçici olarak daha yalın atom veya moleküllere bölünmek [kimya]",,
ayrıştırabilmek,Ayrıştırma ihtimali veya imkânı bulunmak | Ayrıştırma becerisi bulunmak,,
ayrıştırmak,Bütünün bozulmasına sebep olmak | Ayrışmasını sağlamak [kimya],,
ayyaşlaşmak,Ayyaş bir duruma gelmek,,
azabilmek,Azma ihtimali veya imkânı bulunmak | Azma becerisi bulunmak,,
azalabilmek,Azalma ihtimali veya imkânı bulunmak,,
azalmak,Az denecek bir miktara inmek; daralmak | Eskisinden az bir duruma gelmek | Etkisini yitirmek,,
azaltabilmek,Azaltma ihtimali veya imkânı bulunmak | Azaltma becerisi bulunmak,,
azaltılabilmek,Azaltılma ihtimali veya imkânı bulunmak,,
azaltılmak,Azaltma işi yapılmak,,
azaltmak,Az denecek bir miktara indirmek; azlaştırmak | Eskisinden az bir duruma getirmek; azlaştırmak | Etkisini yitirmesine sebep olmak,,
azalttırmak,Azaltma işini yaptırmak,,
azarlamak,"Kırıcı ve sert söz söylemek; donatmak, görünmek, paylamak, darılmak, kakımak, terslemek (I), zılgıt vermek, tekdir etmek, takaza etmek",,
azarlanabilmek,Azarlanma ihtimali bulunmak,,
azarlanmak,Kırıcı ve sert sözle karşılaşmak; paylanmak,,
azarlatmak,Azarlama işini yaptırmak veya azarlanmasına yol açmak,,
azarlayabilmek,Azarlama ihtimali veya imkânı bulunmak,,
azarlayıvermek,Hemen azarlamak,,azarlayı'vermek
azdırabilmek,Azdırma ihtimali veya imkânı bulunmak | Azdırma becerisi bulunmak,,
azdırılmak,Azmasına yol açılmak,,
azdırmak,"Azmasına sebep olmak | Azgın duruma getirmek | Kötü davranış veya alışkanlıklara sürüklemek, yoldan çıkarmak",,
azelleşmek,Azel durumuna gelmek; oligopolleşmek [ekonomi],,
azgınlaşmak,Azgın duruma gelmek | Cinsel istekleri aşırılaşmak,,
azgınlaştırmak,Azgın duruma getirmek,,
azımsamak,"Bir şeyin umulduğundan az olduğu yargısına varmak, az görmek, az bulmak",,
azımsanabilmek,Azımsanma ihtimali veya imkânı bulunmak,,
azımsanmak,Azımsama işine konu olmak,,
azımsayabilmek,Azımsama ihtimali veya imkânı bulunmak,,
azışmak,"Gittikçe kızışmak, gitgide şiddetlenmek",,
azıştırmak,Azışmasına yol açmak,,
azıtabilmek,Azıtma ihtimali veya imkânı bulunmak | Azıtma becerisi bulunmak,,
azıtılmak,Azıtma işine konu olmak,,
azıtmak,"Azgın duruma getirmek | Bitki çok uzamak | Çığırından çıkmak veya çıkarmak, ölçüyü kaçırmak | Çocuk çok şımarmak, aşırı yaramazlık etmek | Baştan çıkmak, doğru yoldan ayrılmak, yolunu şaşırmak | Kedi, köpek vb. hayvanları evden geri dönemeyecekleri kadar uzak bir yere bırakmak",,
azıttırmak,Azıtma işini yaptırmak,,
azledilebilmek,Azledilme ihtimali bulunmak,,a'zledilebilmek
azledilmek,Görevden alınmak,Arapça ʿazl + Türkçe edilmek,a'zledilmek
azletmek,"Bir kişiyi görevinden almak, uzaklaştırmak",Arapça ʿazl + Türkçe etmek,a'zletmek
azlettirmek,Azletme işini yaptırmak,,a'zlettirmek
azlolunmak,"Görevinden alınmak, görevinden çıkarılmak",Arapça ʿazl + Türkçe olunmak,a'zlolunmak
azmak,Bir nehir veya dereden taşıp biriken küçük su birikintisi | Bir nehir veya dereden ayrılan kol,,
azmak,"Taşkınlıkta ileri gitmek | Deniz, ırmak vb. kabarmak, taşmak | Yara, hastalık etkili, tehlikeli duruma gelmek | Cinsel duyguları artmak | Çamaşır artık ağartılamaz duruma gelmek | Hayvanlar iki ayrı ırktan doğmak | Bitkiler aşırı büyümek",,
azmanlaşmak,"Aşırı gelişmek, çok büyük duruma gelmek",,
azmetmek,"Bir işi yapmak için kararlılıkla gayret etmek, bir işte azim göstermek | Bir yere gitmek için hareket etmek",Arapça ʿazm + Türkçe etmek,a'zmetmek
azmettirmek,Bir suçu işlemesine veya herhangi bir işi kesinlikle yapmasına karar verdirmek,Arapça ʿazm + Türkçe ettirmek,a'zmettirmek
azotlamak,Azotla karıştırmak veya birleştirmek [kimya],,
babacanlaşmak,Babacan duruma gelmek,,
babalanabilmek,Babalanma ihtimali veya imkânı bulunmak | Babalanma becerisi bulunmak,,
babalanmak,"Babaları tutmak, çok öfkelenmek | Diklenerek kabadayıca davranmak | Babalı olmak, babalı duruma gelmek",,
babıldamak,"Bebek konuşma öncesi dönemde anlamsız basit heceleri tekrar etmek: ma-ma-ma, ba-ba-ba vb [eğitim]",,
badanalamak,Duvarları boyamak için sulandırılmış kireç veya plastik boya sürmek,,
badanalanmak,Badana yapılmak,,
badanalatmak,Badanalama işini yaptırmak,,
badiklemek,Ördek gibi iki yana sallana sallana yürümek,,
badikleşmek,Ördek gibi sağa sol yalpa vurarak yürüme eğilimi göstermek,,
bağdalamak,Çelme atmak | Güreşte rakibe ayak sarması takmak [spor],,
bağdamak,"Birkaç şeyi birbirine geçirerek bağlamak | İçinden çıkılmayacak bir duruma getirmek, kördüğüm etmek",,
bağdaşabilmek,Bağdaşma ihtimali veya imkânı bulunmak,,
bağdaşıklaşmak,Aynı özelliği göstermek; homojenleşmek,,
bağdaşıklaştırmak,Bağdaşık duruma getirmek; homojenleştirmek,,
bağdaşılmak,Bağdaşma işine konu olmak,,
bağdaşmak,Çocuk oyunlarında arkadaş olmak | Bağdaş kurup oturmak,,
bağdaştırabilmek,Bağdaştırma ihtimali veya imkânı bulunmak,,
bağdaştırılabilmek,Bağdaştırılma ihtimali veya imkânı bulunmak,,
bağdaştırılmak,Bağdaştırma işine konu olmak,,
bağdaştırmak,Bağdaşmasını sağlamak; eklemlemek,,
bağımlamak,"Bir şeyi bağım altına sokmak, etkisi altında tutmak",,
bağımlaşmak,Bir şeye veya bir kimseye tamamen bağımlı olmak,,
bağımlılaşabilmek,Bağımlılaşma ihtimali veya imkânı bulunmak,,
bağımlılaşmak,Bağımlı duruma gelmek,,
bağımlılaştırılmak,Bağımlı bir duruma getirilmek,,
bağımlılaştırmak,Bağımlı duruma getirmek,,
bağımsızlaşabilmek,Bağımsızlaşma ihtimali veya imkânı bulunmak,,
bağımsızlaşmak,Bağımsız duruma gelmek,,
bağımsızlaştırabilmek,Bağımsızlaştırma ihtimali veya imkânı bulunmak,,
bağımsızlaştırmak,Bağımsız duruma getirmek,,
bağırabilmek,Bağırma ihtimali veya imkânı bulunmak | Bağırma becerisi bulunmak,,
bağırıvermek,"Ansızın, birdenbire bağırmak",,bağırı'vermek
bağırmak,İnsan yüksek ve gür ses çıkarmak; banlamak | Yüksek sesle azarlamak | Kendini belli etmek,,
bağırtabilmek,Bağırtma ihtimali veya imkânı bulunmak | Bağırtma becerisi bulunmak,,
bağırtmak,Bağırmasına yol açmak,,
bağırttırmak,Bağırtma işini yaptırmak,,
bağışıklamak,Bağışık duruma getirmek,,
bağışlamak,"Herhangi bir kötü davranış için ceza vermekten vazgeçmek; affetmek, affeylemek | Bir kimse, kuruluş veya ülke ayni veya nakdi varlıklarını kendi iradesi ile bir başka kişi, kurum veya tüzel kişiliklere karşılıksız olarak devretmek; bağış yapmak, hibe etmek, bahşetmek, teberru etmek | Bir kişinin üzerinde bulunan görevi ve sorumluluğu kaldırmak | Hoş görmek",,
bağışlamamak,"karşısındakinin yanlışından, kusurundan doğacak fırsatları kaçırmamak, acımadan değerlendirmek",,
bağışlanabilmek,"Bağışlanma ihtimali veya imkânı bulunmak; affedilebilmek, affolunabilmek",,
bağışlanmak,"Bağışlama işine konu olmak, affa uğramak; affedilmek, affolmak, affolunmak, bahşedilmek | Bir mal veya hak karşılık beklemeden birine verilmek; bahşedilmek",,
bağışlatabilmek,Bağışlatma ihtimali veya imkânı bulunmak; affettirebilmek | Bir mal veya hakkı karşılık beklemeden birine verdirme ihtimali veya imkânı bulunmak,,
bağışlatılmak,Bağışlatma işine konu olmak,,
bağışlatmak,Bağışlama işini yaptırmak; affettirmek | Bir mal veya hakkın karşılık beklemeden birine verilmesini sağlamak; bahşettirmek,,
bağışlayabilmek,Bağışlama ihtimali veya imkânı bulunmak; affedebilmek | Bir mal veya hakkı karşılık beklemeden birine verme ihtimali veya imkânı bulunmak; bahşedebilmek,,
bağışlayıvermek,Çabucak bağışlamak; affedivermek,,bağışlayı'vermek
bağıtlamak,Sözleşmeyle sonuçlandırmak,,
bağıtlanabilmek,Bağıtlanma ihtimali veya imkânı bulunmak,,
bağıtlanmak,Sözleşme ile sonuçlanmak,,
bağıtlaşmak,Aralarında sözleşme yapmak,,
bağıtlayabilmek,Bağıtlama ihtimali veya imkânı bulunmak,,
bağlamak,"İp, bağ veya başka bir araçla bir şeyi bir yere veya birkaç şeyi birbirine tutturmak, birleştirmek | Kumaş, ip, tel gibi şeyleri uçlarını birbiri arasından geçirmek suretiyle düğümlemek | Yaraya ilaç koyup bezle sarmak | Denk yapmak, paket yapmak | Anlaşma yapmak | Uyulması zorunlu olmak | Eklemek, bir araya getirmek, birleştirmek | Başka bir işle uğraşamaz durumda olmak | Sona erdirmek, bitirmek, tamamlamak | Geçişi engellemek | Birini söz veya yazı ile bağlamak; taahhüt etmek, angaje etmek | Büyü, muska vb.nin aracılığıyla birinin birtakım isteklerini veya yetkinliğini engellemek, yok etmek | Yoğurt, yara vb. yüzey üzerinde katman oluşmak; tutmak | Gönlünü kazanmak | Birinde bir şeye karşı ilgi, istek uyandırarak o şeye ilgi, yakınlık duymasını sağlamak | Bütün ilgisini bir yerde yoğunlaştırmak",,
bağlanabilmek,Bağlanma ihtimali veya imkânı bulunmak,,
bağlanıvermek,Çabucak bağlanmak,,bağlanı'vermek
bağlanmak,"Bağlama işine konu olmak | Sevmek, içten bağlı olmak | Yalnızca belli bir işle uğraşmak | Bir şey bir kimseye ayrılmak, tahsis edilmek | Sözle veya yazılı olarak bir şeye bağlanmak; angaje olmak | Beklenen şey elde edilmez olmak",,
bağlaşmak,"Bir şey yapmak için birbirine antlaşma veya sözleşme ile bağlanmak, ittifak etmek",,
bağlatabilmek,Bağlatma ihtimali veya imkânı bulunmak | Bağlatmaya gücü yetmek,,
bağlatmak,Bağlama işini yaptırmak,,
bağlattırılmak,Bağlatma işi yaptırılmak,,
bağlattırmak,Bağlatma işini yaptırmak,,
bağlayabilmek,Bağlama ihtimali veya imkânı bulunmak | Bağlamaya gücü yetmek,,
bağlayıvermek,Çabucak bağlamak,,bağlayı'vermek
bağlılaşmak,İki şey arasında karşılıklı bağıntı olmak veya bağlılık kurmak,,
bağnazlaşmak,Bağnaz duruma gelmek,,
bağnazlaştırılmak,Bağnazlaşması sağlanmak,,
bağnazlaştırmak,Bağnazlaşmasına yol açmak,,
bağrılmak,Bağırma işi yapılmak,,
bağrışabilmek,Bağrışma ihtimali veya imkânı bulunmak,,
bağrışmak,Birlikte veya karşılıklı bağırmak,,
bağrıştırmak,"Bağırmasına yol açmak, hep birden bağırtmak",,
baharatlamak,"İçine baharat koymak, üzerine baharat sürmek | Baharatla terbiye etmek | Daha zevkli, sevimli hâle getirmek",,
baharatlandırmak,"Baharat ile lezzetlendirmek, baharat ekmek",,
baharatlanmak,Baharatlama işi yapılmak; baharlanmak (II),,
baharlanmak,Ağaçlar çiçek açmak,,
bahsedebilmek,Bahsetme ihtimali veya imkânı bulunmak | Bahsetme becerisi bulunmak,Arapça baḥs̱ + Türkçe edebilmek,ba'hsedebilmek
bahsedilmek,Bahsetme işine konu olmak,,ba'hsedilmek
bahsetmek,"Bir konu üzerinde söz söylemek, konuşmak",Arapça baḥs̱ + Türkçe etmek,ba'hsetmek
bahsolunmak,"Sözü edilmek, konu edilmek",,ba'hsolunmak
bakabilmek,Bakma ihtimali veya imkânı bulunmak | Bakma becerisi bulunmak,,
bakadurmak,Bakma işini sürdürmek,,baka'durmak
bakakalmak,Şaşkınlığa uğrayıp ne yapacağını bilmez durumda kalmak,,baka'kalmak
bakayazmak,Bakacak gibi olmak,,baka'yazmak
bakılabilmek,Bakılma ihtimali veya imkânı bulunmak,,
bakılmak,Bakma işine konu olmak veya bakma işi yapılmak,,
bakınabilmek,Bakınma ihtimali veya imkânı bulunmak | Bakınma becerisi bulunmak,,
bakınmak,"Çevreye göz gezdirmek, araştırmak | Muayene olmak",,
bakırlaşmak,"Bakır rengini almak, rengi bakırın rengine benzemek",,
bakışabilmek,Bakışma ihtimali veya imkânı bulunmak | Bakışma becerisi bulunmak,,
bakışıvermek,Çabucak bakışmak,,bakışı'vermek
bakışmak,İki veya daha çok kimse karşılıklı birbirine bakmak | Kaçamak ve gizli olarak birbirine bakmak,,
bakıvermek,Çabucak bakmak,,bakı'vermek
bakmak,"Bakışı bir şey üzerine çevirmek | Bir şeyin yüzü bir yöne doğru olmak | Bir şeyin gelişmesi veya iyi bir durumda kalması için emek vermek; esermek | Bir iş birinden beklenmek | Hastayı muayene etmek | Tedavi etmek için ilgilenmek | Görüp incelemek | Kontrol etmek | Bir işi yapmak, bir işi yapmakla görevli olmak | İtina göstermek; ilgilenmek | Başka bir şeyle ilgilenmeyip elindeki veya önündeki işle uğraşır olmak | Yapılabilmesi bir şeye bağlı bulunmak | Bir şeyi gözetmek, korumak | -e benzemek | Bir şeyin farkına varmak | Özen göstermek",,
baktırabilmek,Baktırma ihtimali veya imkânı bulunmak | Baktırma becerisi bulunmak,,
baktırmak,"Bakmasına yol açmak, bakmasını sağlamak",,
baktırtmak,Baktırma işini yaptırmak,,
balabanlaşmak,Balaban duruma gelmek,,
balçıklaşmak,Balçık durumuna gelmek,,
balıklandırmak,Balıklı duruma getirmek,,
balkımak,"Parlamak, parıldamak | Şimşek çakmak | Su halka biçiminde dalgalanmak | Organ kesik kesik ağrımak, sancımak",,
ballamak,Bal sürmek,,
ballandırmak,"Bir yere bal vb. bulaştırmak | Bir şeyin içine bal katmak | Tatlı, sevimli duruma getirmek | İmrendirecek bir biçimde abartarak anlatmak",,
ballanmak,"Bal bulaşmak, bal sürülmek | Tatlı duruma gelmek",,
baltalamak,Balta ile kesmek | Bir işi veya durumu bilinçli ve kasıtlı olarak bozup zarara yol açan davranışta bulunmak; sabote etmek | Bir olayın gerçekleşmesine engel olmak,,
baltalanabilmek,Baltalanma ihtimali veya imkânı bulunmak,,
baltalanmak,Baltalama işine konu olmak,,
baltalayabilmek,Baltalama ihtimali veya imkânı bulunmak,,
baltalayıvermek,Çabucak baltalamak,,baltalayı'vermek
balyalamak,"Balya yapmak, denk yapmak | Belli bir noktaya toplamak",,
balyalanmak,Balyalama işi yapılmak,,
balyalatmak,Balyalama işini yaptırmak,,
balyalayabilmek,Balyalama ihtimali veya imkânı bulunmak | Balyalama becerisi bulunmak,,
balyozlamak,"Balyozla vurmak, balyozla dövmek",,
balyozlanmak,Balyoz ile dövülmek,,
balyozlatmak,Balyozlama işini yaptırmak,,
banabilmek,Banma ihtimali veya imkânı bulunmak,,
bandajlamak,Sargı ile sarmak,,
bandajlanmak,Bandajlama işine konu olmak,,
bandajlatmak,"Sargı ile sardırmak, bandaj yaptırmak",,
bandırabilmek,Bandırma ihtimali veya imkânı bulunmak | Bandırma becerisi bulunmak,,
bandırmak,"Üzüm salkımlarını, inciri çabuk kuruması ve renginin parlak olması için küllü veya potaslı ılık suya daldırıp çıkarmak",,
bangırdamak,"Öfkelenerek yüksek sesle bağırıp çağırmak, bangır bangır bağırmak | Bağırarak şarkı, türkü söylemek",,
banlamak,Horoz ötmek,,
banlatmak,Banlama işini yaptırmak,,
banlattırmak,Banlatma işini yaptırmak,,
banmak,"Katı bir şeyi sulu veya tuz, biber vb. toz durumundaki maddelerin içine batırıp çıkarmak; bandırmak",,
bantlamak,"Bantla iki şeyi birbirine tutturmak, bant yapıştırmak",,
bantlayabilmek,Bantlama ihtimali veya imkânı bulunmak | Bantlama becerisi bulunmak,,
barbarlaşabilmek,Barbarlaşma ihtimali veya imkânı bulunmak | Barbarlaşma becerisi bulunmak,,
barbarlaşmak,Barbar gibi davranmak,,
barınabilmek,Barınma ihtimali veya imkânı bulunmak | Barınma becerisi bulunmak,,
barındırabilmek,Barındırma ihtimali veya imkânı bulunmak | Barındırma becerisi bulunmak,,
barındırılabilmek,Barındırılma ihtimali veya imkânı bulunmak,,
barındırılmak,Barındırma işine konu olmak,,
barındırmak,Barınmasını sağlamak,,
barınılmak,Barınma işi yapılmak,,
barınmak,"Doğa etkilerinden korunmak için kapalı bir yere sığınmak | Yerleşmek, yaşamak için uygun şartlar bularak oturmak | Bir yerde yatarak geceyi geçirmek | Bir yerde etkili olmak, gelişecek ortamı bulmak | Çevresiyle uyumlu, dirlik içinde yaşamak",,-de
barışabilmek,Barışma ihtimali veya imkânı bulunmak,,
barışmak,"İki taraf aralarındaki dargınlığı kaldırmak | Sevmek, zevk almak",,
barıştırabilmek,Barıştırma ihtimali veya imkânı bulunmak | Barıştırma becerisi bulunmak,,
barıştırılmak,Barıştırma işine konu olmak,,
barıştırmak,"Barışmalarını sağlamak, ara bulmak",,
barikatlamak,"Barikat ile çevirmek, barikat yapmak",,
barizleşmek,Bariz duruma gelmek,,
barizleştirmek,Bariz duruma getirmek,,
barlanmak,"Turşu, sirke vb.nin üstü zamanla küf bağlamak",,
basabilmek,Basma ihtimali veya imkânı bulunmak | Basma becerisi bulunmak,,
basamak,"Bir yere çıkarken veya bir yerden inerken basılan ve art arda gelen, birbirine belirli aralıkları olan düz yüzeylerden her biri; ayak, sekmen | Bir amaca ulaşmak için yararlanılan kişi, durum veya yer | Ondalık sayı sisteminde bir sayının sağdan sola doğru rakamlarının derecelerine göre her birinin bulunduğu yer; hane [matematik] | Bir tam denklemde bulunan bilinmeyenin en yüksek kuvveti [matematik]",,
basamaklamak,Basamaklara ayırmak | Basamak hâline getirmek | Merdivenleri çıkmak,,
basamaklandırılmak,Basamaklandırmak işi yapılmak,,
basamaklandırmak,Basamaklara ayırmak | Basamaklama işini yaptırmak,,
basamaklanmak,Basamaklamak işi yapılmak,,
basıklaşmak,Basık bir duruma gelmek,,
basıklaştırmak,Basık duruma getirmek,,
basılabilmek,Basılma ihtimali veya imkânı bulunmak,,
basılmak,"Basma işine konu olmak veya basma işi yapılmak; tabedilmek, tabolunmak | Uygunsuz durumda yakalanmak",,
basılmak,Uygunsuz durumda yakalanmak,,
basınçlamak,"Hava taşıtlarında, insan organizması için yeterli basınç düzeyini sağlamak veya ayarlamak",,
basıvermek,Çabucak basmak,,bası'vermek
basitleşebilmek,Basitleşme ihtimali veya imkânı bulunmak,,
basitleşmek,Basit duruma gelmek,,
